,src,as_array,categories
0,electronic.1.jpeg,"[[[235. 225. 223.]
  [219. 209. 207.]
  [223. 213. 211.]
  ...
  [166. 168. 147.]
  [250. 241. 234.]
  [252. 248. 239.]]

 [[228. 218. 216.]
  [236. 226. 224.]
  [221. 211. 209.]
  ...
  [225. 209. 209.]
  [200. 185. 180.]
  [202. 193. 186.]]

 [[236. 226. 224.]
  [230. 220. 218.]
  [201. 191. 189.]
  ...
  [235. 226. 219.]
  [140. 119. 116.]
  [222. 207. 202.]]

 ...

 [[104. 146.  96.]
  [116. 151. 109.]
  [129. 156. 123.]
  ...
  [ 29.  63.  28.]
  [ 25.  33.  20.]
  [ 30.  38.  25.]]

 [[115. 141. 106.]
  [120. 146. 111.]
  [115. 141. 106.]
  ...
  [ 35.  47.  27.]
  [ 28.  36.  23.]
  [ 21.  29.  16.]]

 [[109. 135. 100.]
  [114. 140. 105.]
  [109. 135. 100.]
  ...
  [ 30.  36.   2.]
  [ 10.  18.   5.]
  [ 19.  27.  14.]]]","['electronic', 'pop']"
1,electronic.10.jpeg,"[[[ 5.  6.  0.]
  [ 3.  4.  0.]
  [ 2.  3.  0.]
  ...
  [ 1.  1.  1.]
  [ 5.  0.  0.]
  [ 5.  0.  0.]]

 [[ 5.  6.  0.]
  [ 3.  4.  0.]
  [ 2.  3.  0.]
  ...
  [ 1.  1.  1.]
  [ 6.  1.  0.]
  [ 6.  1.  0.]]

 [[ 5.  6.  0.]
  [ 3.  4.  0.]
  [ 2.  3.  0.]
  ...
  [ 1.  1.  1.]
  [ 8.  3.  0.]
  [ 8.  3.  0.]]

 ...

 [[ 1.  4. 23.]
  [21. 26. 30.]
  [ 0.  0. 11.]
  ...
  [ 7.  7.  7.]
  [ 0.  0.  0.]
  [ 0.  0.  0.]]

 [[11. 18. 37.]
  [11. 18. 34.]
  [ 7. 16. 25.]
  ...
  [15. 25. 27.]
  [ 0.  2.  0.]
  [ 0.  3.  1.]]

 [[10. 17. 36.]
  [10. 17. 33.]
  [ 5. 14. 23.]
  ...
  [53. 63. 65.]
  [16. 22. 20.]
  [ 3.  9.  7.]]]","['electronic', 'rock']"
2,electronic.100.jpeg,"[[[ 47.  33.  22.]
  [ 57.  43.  32.]
  [ 49.  35.  24.]
  ...
  [ 48.  29.  15.]
  [ 58.  44.  33.]
  [ 95.  81.  70.]]

 [[ 65.  51.  40.]
  [ 49.  35.  24.]
  [ 55.  41.  30.]
  ...
  [ 58.  39.  25.]
  [ 59.  45.  34.]
  [ 79.  65.  54.]]

 [[ 40.  26.  15.]
  [ 44.  30.  19.]
  [ 38.  24.  13.]
  ...
  [ 62.  43.  29.]
  [ 68.  54.  43.]
  [106.  92.  81.]]

 ...

 [[ 25.  27.  16.]
  [ 19.  21.  10.]
  [ 24.  26.  15.]
  ...
  [ 32.  24.  11.]
  [ 31.  23.  10.]
  [ 44.  36.  23.]]

 [[ 21.  10.   4.]
  [ 26.  22.  13.]
  [ 31.  33.  22.]
  ...
  [ 33.  25.  12.]
  [ 36.  28.  17.]
  [ 71.  63.  52.]]

 [[ 47.  36.  30.]
  [ 23.  19.  10.]
  [ 34.  36.  25.]
  ...
  [ 48.  40.  27.]
  [100.  88.  72.]
  [150. 138. 122.]]]","['electronic', 'pop']"
3,electronic.1000.jpeg,"[[[29. 29. 29.]
  [22. 22. 22.]
  [20. 20. 20.]
  ...
  [29. 29. 29.]
  [39. 39. 39.]
  [39. 39. 39.]]

 [[32. 32. 32.]
  [26. 26. 26.]
  [23. 23. 23.]
  ...
  [35. 35. 35.]
  [26. 26. 26.]
  [36. 36. 36.]]

 [[36. 36. 36.]
  [30. 30. 30.]
  [27. 27. 27.]
  ...
  [43. 43. 43.]
  [55. 55. 55.]
  [39. 39. 39.]]

 ...

 [[38. 38. 38.]
  [38. 38. 38.]
  [36. 36. 36.]
  ...
  [55. 55. 55.]
  [32. 32. 32.]
  [39. 39. 39.]]

 [[30. 29. 35.]
  [29. 28. 34.]
  [24. 23. 29.]
  ...
  [36. 35. 41.]
  [23. 28. 32.]
  [29. 34. 38.]]

 [[84. 83. 89.]
  [89. 88. 94.]
  [72. 71. 77.]
  ...
  [80. 79. 85.]
  [78. 83. 87.]
  [83. 88. 92.]]]","['electronic', 'pop']"
4,electronic.101.jpeg,"[[[230. 166.  42.]
  [235. 172.  43.]
  [236. 174.  39.]
  ...
  [ 19.  25. 113.]
  [ 50.  52. 103.]
  [ 21.  13.  11.]]

 [[221. 157.  33.]
  [229. 166.  37.]
  [235. 173.  38.]
  ...
  [ 19.  25. 113.]
  [ 50.  52. 103.]
  [ 26.  18.  16.]]

 [[225. 161.  37.]
  [232. 169.  40.]
  [235. 173.  38.]
  ...
  [ 19.  25. 113.]
  [ 43.  45.  96.]
  [ 23.  15.  13.]]

 ...

 [[205. 135.  13.]
  [208. 138.  16.]
  [207. 137.  15.]
  ...
  [ 19.  16.  95.]
  [ 16.  15.  83.]
  [ 16.  15.  83.]]

 [[197. 132.  14.]
  [197. 133.   9.]
  [197. 134.   3.]
  ...
  [ 19.  17.  92.]
  [ 19.  13.  83.]
  [ 19.  13.  83.]]

 [[197. 132.  14.]
  [197. 133.   9.]
  [197. 134.   3.]
  ...
  [ 19.  17.  92.]
  [ 19.  13.  83.]
  [ 19.  13.  83.]]]","['electronic', 'pop']"
5,electronic.102.jpeg,"[[[255. 255. 255.]
  [255. 255. 255.]
  [255. 255. 255.]
  ...
  [251. 251. 251.]
  [247. 247. 247.]
  [245. 245. 245.]]

 [[255. 255. 255.]
  [255. 255. 255.]
  [255. 255. 255.]
  ...
  [252. 252. 252.]
  [254. 254. 254.]
  [253. 253. 253.]]

 [[255. 255. 255.]
  [255. 255. 255.]
  [255. 255. 255.]
  ...
  [254. 254. 254.]
  [255. 255. 255.]
  [255. 255. 255.]]

 ...

 [[255. 255. 255.]
  [255. 255. 255.]
  [255. 255. 255.]
  ...
  [255. 255. 255.]
  [255. 255. 255.]
  [255. 255. 255.]]

 [[255. 255. 255.]
  [255. 255. 255.]
  [255. 255. 255.]
  ...
  [253. 253. 253.]
  [255. 255. 255.]
  [255. 255. 255.]]

 [[255. 255. 255.]
  [255. 255. 255.]
  [255. 255. 255.]
  ...
  [253. 253. 253.]
  [244. 244. 244.]
  [244. 244. 244.]]]","['electronic', 'pop']"
6,electronic.103.jpeg,"[[[ 14.  37.  69.]
  [ 43.  59.  95.]
  [ 48.  57.  98.]
  ...
  [ 53.  53.  87.]
  [ 54.  50.  77.]
  [ 55.  51.  78.]]

 [[ 30.  52.  91.]
  [ 36.  51.  90.]
  [ 28.  38.  73.]
  ...
  [ 40.  41.  69.]
  [ 55.  51.  78.]
  [ 57.  53.  80.]]

 [[ 26.  47.  94.]
  [ 39.  54.  95.]
  [ 93. 104. 134.]
  ...
  [ 51.  53.  74.]
  [ 57.  53.  80.]
  [ 59.  55.  82.]]

 ...

 [[ 80.  80. 118.]
  [ 81.  81. 115.]
  [ 83.  85. 110.]
  ...
  [118.  96.  98.]
  [112.  94. 106.]
  [112.  94. 106.]]

 [[ 89.  80. 109.]
  [ 91.  82. 111.]
  [ 92.  83. 112.]
  ...
  [108.  98.  96.]
  [105.  93. 103.]
  [105.  93. 103.]]

 [[ 92.  79. 109.]
  [ 94.  81. 111.]
  [ 95.  82. 112.]
  ...
  [108.  98.  96.]
  [105.  93. 103.]
  [105.  93. 103.]]]","['electronic', 'rock']"
7,electronic.104.jpeg,"[[[245. 206. 199.]
  [230. 191. 184.]
  [224. 185. 178.]
  ...
  [237. 201. 169.]
  [250. 203. 183.]
  [255. 239. 209.]]

 [[235. 193. 168.]
  [226. 184. 159.]
  [228. 186. 161.]
  ...
  [245. 208. 182.]
  [244. 197. 177.]
  [252. 233. 203.]]

 [[229. 181. 158.]
  [232. 184. 161.]
  [228. 180. 157.]
  ...
  [238. 200. 181.]
  [244. 197. 177.]
  [252. 233. 203.]]

 ...

 [[215. 156. 124.]
  [213. 154. 122.]
  [212. 153. 121.]
  ...
  [236. 212. 200.]
  [240. 210. 200.]
  [240. 210. 200.]]

 [[213. 154. 122.]
  [215. 156. 124.]
  [217. 158. 126.]
  ...
  [236. 212. 200.]
  [239. 215. 203.]
  [239. 215. 203.]]

 [[211. 152. 120.]
  [213. 154. 122.]
  [215. 156. 124.]
  ...
  [236. 212. 200.]
  [239. 215. 203.]
  [239. 215. 203.]]]","['electronic', 'pop']"
8,electronic.105.jpeg,"[[[ 83.  86.  91.]
  [103.  88.  95.]
  [136. 120. 121.]
  ...
  [202. 196. 198.]
  [193. 187. 189.]
  [  8.   2.   4.]]

 [[ 51.  61.  63.]
  [ 46.  35.  41.]
  [108.  98.  97.]
  ...
  [ 36.  30.  32.]
  [ 60.  54.  56.]
  [ 39.  33.  35.]]

 [[ 66.  82.  82.]
  [ 14.   9.  13.]
  [ 55.  51.  48.]
  ...
  [ 11.   5.   7.]
  [ 33.  27.  29.]
  [ 12.   6.   8.]]

 ...

 [[ 77.  72.  68.]
  [ 56.  51.  47.]
  [ 48.  43.  39.]
  ...
  [ 13.  13.  13.]
  [  8.   8.   8.]
  [  8.   8.   8.]]

 [[ 92.  87.  83.]
  [ 71.  66.  62.]
  [ 38.  33.  29.]
  ...
  [ 13.  14.   8.]
  [ 10.  10.  10.]
  [  8.   8.   8.]]

 [[127. 122. 118.]
  [ 60.  55.  51.]
  [ 49.  44.  40.]
  ...
  [ 13.  14.   8.]
  [ 10.  10.  10.]
  [  8.   8.   8.]]]","['electronic', 'rock']"
9,electronic.106.jpeg,"[[[216.  41.  38.]
  [223.  41.  40.]
  [229.  41.  42.]
  ...
  [226.  48.  46.]
  [213.  41.  37.]
  [255. 172. 176.]]

 [[216.  41.  38.]
  [223.  41.  40.]
  [229.  41.  42.]
  ...
  [226.  48.  46.]
  [213.  41.  37.]
  [255. 172. 176.]]

 [[216.  41.  38.]
  [223.  41.  40.]
  [229.  41.  42.]
  ...
  [226.  48.  46.]
  [213.  41.  37.]
  [255. 172. 176.]]

 ...

 [[ 26.  20.  22.]
  [ 29.  23.  25.]
  [  6.   0.   2.]
  ...
  [ 32.  26.  28.]
  [ 25.  25.  25.]
  [255. 255. 255.]]

 [[ 24.  24.  24.]
  [ 13.  13.  13.]
  [ 26.  26.  26.]
  ...
  [ 21.  20.  26.]
  [ 26.  26.  26.]
  [255. 255. 255.]]

 [[ 23.  23.  23.]
  [ 14.  14.  14.]
  [ 28.  28.  28.]
  ...
  [ 31.  30.  36.]
  [ 26.  26.  26.]
  [255. 255. 255.]]]",['electronic']
